#
# National Water Information System
# 2013/12/18
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
parm_cd	group	parm_nm	CASRN	SRSName	parm_unit
00001	Information	Location in cross section, distance from right bank looking upstream, feet	 	 	ft
00002	Information	Location in cross section, distance from right bank looking upstream, percent	 	 	%
00003	Information	Sampling depth, feet	 	 	ft
00004	Physical	Stream width, feet	 	Instream features, est. stream width	ft
00005	Information	Location in cross section, fraction of total depth, percent	 	 	%
00008	Information	Sample accounting number	 	 	nu
00009	Information	Location in cross section, distance from left bank looking downstream, feet	 	 	ft
00010	Physical	Temperature, water, degrees Celsius	 	Temperature, water	deg C
00011	Physical	Temperature, water, degrees Fahrenheit	 	Temperature, water	deg F
00012	Physical	Evaporation temperature, 48 inch pan, degrees Celsius	 	 	deg C
00013	Physical	Evaporation temperature, 24 inch pan, degrees Celsius	 	 	deg C
00014	Physical	Wet bulb temperature, degrees Celsius	 	 	deg C
00020	Physical	Temperature, air, degrees Celsius	 	Temperature, air	deg C
00021	Physical	Temperature, air, degrees Fahrenheit	 	Temperature, air	deg F
00022	Information	Duration of exposure, sample or test, days	 	 	days
00023	Information	Sample weight, pounds	 	 	lb
00024	Information	Sample length, inches	 	 	in
00025	Physical	Barometric pressure, millimeters of mercury	 	Barometric pressure	mm/Hg
00028	Information	Agency analyzing sample, code	 	 	code
00029	Information	Project number	 	 	nu
00030	Physical	Incident solar radiation intensity, calories per square centimeter per day	 	Solar irradiation, local	cal/cm2/d
00031	Physical	Incident light remaining at depth, percent	 	 	%
00032	Physical	Cloud cover, percent	 	Cloud cover (percent)	%
00034	Physical	Depth to 1 percent of surface light, feet	 	Light attenuation, depth at 99%	ft
00035	Physical	Wind speed, miles per hour	 	 	mph
00036	Physical	Wind direction, degrees clockwise from true north	 	Wind direction	Deg
00041	Information	Weather, World Meteorological Organization code	 	 	WMO code
00042	Information	Altitude, feet above mean sea level	 	Altitude	ft abv MSL
00045	Physical	Precipitation, total, inches	 	Precipitation	in
00046	Physical	Precipitation, total, inches per week	 	Precipitation	in/week
00047	Physical	Total partial pressure of dissolved gases, water, unfiltered, millimeters of mercury	 	Partial pressure of dissolved gases	mm/Hg
00048	Physical	Total partial pressure of dissolved gases, water, unfiltered, percent of saturation	 	Partial pressure of dissolved gases	%
00049	Physical	Surface area, square miles	 	 	mi2
00050	Physical	Evaporation total, inches per day	 	Evaporation	inches/day
00051	Physical	Surface area, square feet	 	 	ft2
00052	Physical	Relative humidity, percent	 	Relative humidity	%
00053	Physical	Surface area, acres	 	 	ac
00054	Information	Reservoir storage, acre feet	 	Reservoir storage	ac-ft
00055	Physical	Stream velocity, feet per second	 	Stream velocity	ft/sec
00056	Physical	Flow rate of well, gallons per day	 	 	gal/day
00058	Physical	Flow rate of well, gallons per minute	 	 	gal/min
00059	Physical	Flow rate, instantaneous, gallons per minute	 	Flow rate, instantaneous	gal/min
00060	Physical	Discharge, cubic feet per second	 	Stream flow, mean. daily	ft3/s
00061	Physical	Discharge, instantaneous, cubic feet per second	 	Stream flow, instantaneous	ft3/s
00062	Physical	Elevation of reservoir water surface above datum, feet	 	 	ft
00063	Information	Number of sampling points, count	 	 	count
00064	Physical	Mean depth of stream, feet	 	Depth	ft
00065	Physical	Gage height, feet	 	Height, gage	ft
00067	Physical	Tide stage, code	 	Tide stage	code
00070	Physical	Turbidity, water, unfiltered, Jackson Turbidity Units	 	Turbidity	JTU
00072	Physical	Stream stage, meters	 	Stream stage	m
00074	Physical	Light transmission, 1 meter path length, water, unfiltered, percent	 	 	%
00075	Physical	Turbidity, water, unfiltered, Hellige turbidimeter, milligrams per liter as silicon dioxide	 	Turbidity, hellige	mg/l SiO2
00076	Physical	Turbidity, water, unfiltered, nephelometric turbidity units	 	Turbidity	NTU
00077	Physical	Transparency, water, in situ, Secchi disc, inches	 	Water transparency, Secchi disc	in
00078	Physical	Transparency, water, in situ, Secchi disc, meters	 	Water transparency, Secchi disc	m
00080	Physical	Color, water, filtered, platinum cobalt units	 	Color	PCU
00081	Physical	Apparent color, water, unfiltered, platinum-cobalt units	 	Apparent color	PCU
00085	Physical	Odor at room temperature, threshold odor number	 	Odor threshold number	TON
00086	Physical	Odor at 60 degrees Celsius, threshold odor number	 	Odor threshold number	TON
00090	Physical	Oxidation reduction potential, reference electrode not specified, millivolts	 	Oxidation reduction potential (ORP)	mV
00094	Physical	Specific conductance, water, unfiltered, field, microsiemens per centimeter at 25 degrees Celsius	 	Specific conductance	uS/cm @25C
00095	Physical	Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius	 	Specific conductance	uS/cm @25C
00096	Physical	Salinity, water, unfiltered, milligrams per milliliter at 25 degrees Celsius	 	Salinity	mg/mL @25C
00098	Information	Sampling depth, meters	 	 	m
00100	Information	Time of travel, hours	 	 	hours
00115	Information	Sample treatment, code	 	 	code
00117	Physical	Precipitation, duration of storm event, minutes	 	Precipitation event duration	minutes
00118	Physical	Precipitation, cumulative at given time, location 6, inches	 	Precipitation	in
00119	Physical	Precipitation, cumulative at given time, location 5, inches	 	Precipitation	in
00120	Physical	Precipitation, cumulative at given time, location 4, inches	 	Precipitation	in
00121	Physical	Precipitation, cumulative at given time, location 3, inches	 	Precipitation	in
00122	Physical	Precipitation, cumulative at given time, location 2, inches	 	Precipitation	in
00123	Physical	Precipitation, cumulative at given time, location 1, inches	 	Precipitation	in
00124	Physical	Precipitation, intensity at given time, location 6, inches per hour	 	Precipitation	in/hr
00125	Physical	Precipitation, intensity at given time, location 5, inches per hour	 	Precipitation	in/hr
00126	Physical	Precipitation, intensity at given time, location 4, inches per hour	 	Precipitation	in/hr
00127	Physical	Precipitation, intensity at given time, location 3, inches per hour	 	Precipitation	in/hr
00128	Physical	Precipitation, intensity at given time, location 2, inches per hour	 	Precipitation	in/hr
00129	Physical	Precipitation, intensity at given time, location 1, inches per hour	 	Precipitation	in/hr
00132	Information	Dry days before precipitation event, days	 	Dry period preceding precipitation	days
00134	Information	Storm event serial number	 	 	nu
00135	Information	Elapsed time of storm, hours	 	 	hours
00149	Radiochemical	Alpha-emitting isotopes of radium, water, filtered, picocuries per liter	 	Alpha emitting radium isotopes	pCi/L
00164	Physical	Flow, gallons per batch	 	Flow, gallons per batch	gal/batch
00191	Inorganics, Major, Non-metals	Hydrogen ion, water, unfiltered, calculated, milligrams per liter	12408-02-5	Hydrogen ion	mg/l
00193	Physical	Precipitation total for defined period, inches	 	Precipitation	in
00196	Physical	Wind run, miles	 	 	mi
00197	Physical	Evaporation, accumulated, inches	 	Evaporation	in
00198	Physical	Depth to 10 percent of surface light, feet	 	 	ft
00199	Physical	Depth to 50 percent of surface light, feet	 	Light attenuation, depth at 50%	ft
00200	Physical	Incident light intensity, 400-700 nanometers, microeinsteins per square meter per second	 	 	uE/m2/sec
00201	Physical	Incident light, daily total, 400-700 nanometers, microeinsteins per square meter	 	 	uEinst/m2
00206	Information	Collector area, wet deposition, square meters	 	 	m2
00207	Information	Collector area, dry deposition, square meters	 	 	m2
00294	Physical	Chemical oxygen demand, soluble, dry atmospheric deposition, milligrams per kilogram	 	Chemical oxygen demand	mg/kg
00296	Physical	Chemical oxygen demand, insoluble, dry atmospheric deposition, milligrams per kilogram	 	Chemical oxygen demand	mg/kg
00297	Physical	Chemical oxygen demand, total, dry atmospheric deposition, milligrams per kilogram	 	Chemical oxygen demand	mg/kg
00300	Inorganics, Major, Non-metals	Dissolved oxygen, water, unfiltered, milligrams per liter	7782-44-7	Oxygen	mg/l
00301	Inorganics, Major, Non-metals	Dissolved oxygen, water, unfiltered, percent of saturation	7782-44-7	Oxygen	% saturatn
00302	Physical	Immediate oxygen demand, water, unfiltered, 20 degrees Celsius, milligrams per liter	 	 	mg/l
00310	Physical	Biochemical oxygen demand, water, unfiltered, 5 days at 20 degrees Celsius, milligrams per liter	 	Biochemical oxygen demand, standard conditions	mg/l
00315	Physical	Biochemical oxygen demand, water, unfiltered, 7 days at 20 degrees Celsius, milligrams per liter	 	Biochemical oxygen demand, non-standard conditions	mg/l
00319	Physical	Ultimate biochemical oxygen demand, water, unfiltered, 20 degrees Celsius, milligrams per liter	 	Biochemical oxygen demand, non-standard conditions	mg/l
00320	Physical	Ultimate carbonaceous biochemical oxygen demand, water, unfiltered, 20 degrees Celsius, milligrams per liter	 	Carbonaceous biochemical oxygen demand, non-standard conditions	mg/l
00321	Physical	Ultimate nitrogenous biochemical oxygen demand, water, unfiltered, milligrams per liter	 	Nitrogenous biochemical oxygen demand	mg/l
00324	Physical	Biochemical oxygen demand, water, unfiltered, 20 days at 20 degrees Celsius, milligrams per liter	 	Biochemical oxygen demand, non-standard conditions	mg/l
00325	Physical	Deoxygenation constant (k1 to base e), biochemical oxygen demand, 20 degrees Celsius, water, unfiltered, per day	 	 	per day
00330	Physical	Reoxygenation constant (k2 to base e), water, unfiltered, per day	 	 	per day
00335	Physical	Chemical oxygen demand, low level, water, unfiltered, milligrams per liter	 	Chemical oxygen demand, (low level)	mg/l
00339	Physical	Chemical oxygen demand, bed sediment, total, dry weight, milligrams per kilogram	 	Chemical oxygen demand	mg/kg
00340	Physical	Chemical oxygen demand, high level, water, unfiltered, milligrams per liter	 	Chemical oxygen demand, (high level)	mg/l
00349	Physical	Biochemical oxygen demand, water, unfiltered, 30 days at 20 degrees Celsius, milligrams per liter	 	Biochemical oxygen demand, non-standard conditions	mg/l
00359	Physical	Biochemical oxygen demand, water, filtered, 5 days at 20 degrees Celsius, milligrams per liter	 	Biochemical oxygen demand, standard conditions	mg/l
00367	Physical	Chemical oxygen demand, low level, water, filtered, milligrams per liter	 	 	mg/l
00400	Physical	pH, water, unfiltered, field, standard units	 	pH	std units
00401	Physical	Cations minus anions, water, milliequivalents	 	 	meq
00402	Physical	Specific conductance, non-temperature corrected, water, unfiltered, microsiemens per centimeter	 	Specific conductance	uS/cm
00403	Physical	pH, water, unfiltered, laboratory, standard units	 	pH, lab	std units
00405	Inorganics, Major, Non-metals	Carbon dioxide, water, unfiltered, milligrams per liter	124-38-9	Carbon dioxide	mg/l
00408	Physical	pH, water, filtered, laboratory, standard units	 	 	std units
00409	Inorganics, Major, Non-metals	Acid neutralizing capacity, water, unfiltered, Gran titration, microequivalents per liter	 	Alkalinity	ueq/L
00410	Inorganics, Major, Non-metals	Acid neutralizing capacity, water, unfiltered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate	 	Alkalinity	mg/l CaCO3
00411	Inorganics, Major, Non-metals	Acid neutralizing capacity, water, unfiltered, methyl orange endpoint (pH 3.1-4.4) titration, milligrams per liter as calcium carbonate	 	Alkalinity	mg/l CaCO3
00413	Inorganics, Major, Non-metals	Acid neutralizing capacity, water, unfiltered, Gran titration, milligrams per liter as calcium carbonate	 	Alkalinity	mg/l CaCO3
00415	Inorganics, Major, Non-metals	Acid neutralizing capacity, water, unfiltered, phenolphthalein endpoint (pH 8.5-9.0) titration, milligrams per liter as calcium carbonate	 	Alkalinity	mg/l CaCO3
00416	Inorganics, Major, Non-metals	Acid neutralizing capacity, water, unfiltered, inflection-point titration method (incremental titration method), laboratory, milligrams per liter as calcium carbonate	 	Alkalinity	mg/l CaCO3
00417	Inorganics, Major, Non-metals	Acid neutralizing capacity, water, unfiltered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter as calcium carbonate	 	Alkalinity	mg/l CaCO3
00418	Inorganics, Major, Non-metals	Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate	 	Alkalinity	mg/l CaCO3
00419	Inorganics, Major, Non-metals	Acid neutralizing capacity, water, unfiltered, inflection-point titration method (incremental titration method), field, milligrams per liter as calcium carbonate	 	Alkalinity	mg/l CaCO3
00420	Inorganics, Major, Non-metals	Hydroxide, water, unfiltered, milligrams per liter	14280-30-9	Hydroxide	mg/l
00421	Inorganics, Major, Non-metals	Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter as calcium carbonate	 	Alkalinity	mg/l CaCO3
00425	Inorganics, Major, Non-metals	Bicarbonate, water, unfiltered, milligrams per liter as calcium carbonate	71-52-3	Bicarbonate	mg/l CaCO3
00430	Inorganics, Major, Non-metals	Carbonate, water, unfiltered, milligrams per liter as calcium carbonate	3812-32-6	Carbonate (CO3)	mg/l CaCO3
00431	Inorganics, Major, Non-metals	Acid neutralizing capacity, water, unfiltered, milligrams per liter as calcium carbonate	 	Alkalinity	mg/l CaCO3
00434	Physical	pH adjusted to 25 degrees Celsius, water, laboratory, standard units	 	 	std units
00435	Inorganics, Major, Non-metals	Acidity, water, unfiltered, milligrams per liter as calcium carbonate	 	Acidity	mg/l CaCO3
00436	Inorganics, Major, Non-metals	Mineral acidity, water, unfiltered, methyl orange endpoint (pH 3.1-4.4) titration, milligrams per liter as calcium carbonate	 	Acidity, mineral methyl orange (as CaCO3)	mg/l CaCO3
00437	Inorganics, Major, Non-metals	Carbon dioxide acidity, water, unfiltered, phenolphthalein endpoint (pH 8.5-9.0) titration, milligrams per liter as calcium carbonate	 	Acidity, total, phenolphthalein (as CaCO3)	mg/l CaCO3
00440	Inorganics, Major, Non-metals	Bicarbonate, water, unfiltered, fixed endpoint (pH 4.5) titration, field, milligrams per liter	71-52-3	Bicarbonate	mg/l
00445	Inorganics, Major, Non-metals	Carbonate, water, unfiltered, fixed endpoint (pH 8.3) titration, field, milligrams per liter	3812-32-6	Carbonate (CO3)	mg/l
00446	Inorganics, Major, Non-metals	Carbonate, water, unfiltered, inflection-point titration method (incremental titration method), laboratory, milligrams per liter	3812-32-6	Carbonate (CO3)	mg/l
00447	Inorganics, Major, Non-metals	Carbonate, water, unfiltered, inflection-point titration method (incremental titration method), field, milligrams per liter	3812-32-6	Carbonate (CO3)	mg/l
00448	Inorganics, Major, Non-metals	Carbonate, water, unfiltered, fixed endpoint (pH 8.3) titration, laboratory, milligrams per liter	3812-32-6	Carbonate (CO3)	mg/l
00449	Inorganics, Major, Non-metals	Bicarbonate, water, unfiltered, inflection-point titration method (incremental titration method), laboratory, milligrams per liter	71-52-3	Bicarbonate	mg/l
00450	Inorganics, Major, Non-metals	Bicarbonate, water, unfiltered, inflection-point titration method (incremental titration method), field, milligrams per liter	71-52-3	Bicarbonate	mg/l
00451	Inorganics, Major, Non-metals	Bicarbonate, water, unfiltered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter	71-52-3	Bicarbonate	mg/l
00452	Inorganics, Major, Non-metals	Carbonate, water, filtered, inflection-point titration method (incremental titration method), field, milligrams per liter	3812-32-6	Carbonate (CO3)	mg/l
00453	Inorganics, Major, Non-metals	Bicarbonate, water, filtered, inflection-point titration method (incremental titration method), field, milligrams per liter	71-52-3	Bicarbonate	mg/l
00480	Physical	Salinity, water, unfiltered, parts per thousand	 	Salinity	ppth
00495	Physical	Moisture content, fraction of dry weight, percent	 	Moisture content	%
00496	Sediment	Loss on ignition, bed sediment, dry weight, milligrams per kilogram	 	 	mg/kg
00500	Physical	Total solids dried at 105 degrees Celsius, water, unfiltered, milligrams per liter	 	Total solids	mg/l
00505	Physical	Loss on ignition of total solids, water, unfiltered, milligrams per liter	 	Total volatile solids	mg/l
00510	Physical	Total solids remaining after ignition, water, unfiltered, milligrams per liter	 	Total fixed solids	mg/l
00515	Physical	Dissolved solids dried at 105 degrees Celsius, water, filtered, milligrams per liter	 	Total dissolved solids	mg/l
00520	Physical	Loss on ignition of dissolved solids, water, filtered, milligrams per liter	 	Volatile dissolved solids	mg/l
00525	Physical	Dissolved solids remaining after ignition, water, filtered, milligrams per liter	 	Fixed dissolved solids	mg/l
00530	Physical	Suspended solids, water, unfiltered, milligrams per liter	 	Total suspended solids	mg/l
00535	Physical	Loss on ignition of suspended solids, water, unfiltered, milligrams per liter	 	Volatile Suspended Solids	mg/l
00540	Physical	Suspended solids remaining after ignition, water, unfiltered, milligrams per liter	 	Fixed suspended solids	mg/l
00545	Physical	Settleable solids, water, unfiltered, milligrams per liter	 	Settleable solids	mg/l
00548	Physical	Non-settleable solids remaining after ignition, milligrams per liter	 	 	mg/l
00549	Physical	Loss on ignition of non-settleable solids, milligrams per liter	 	 	mg/l
00550	Organics, Other	Oil and grease, water, unfiltered, recoverable, milligrams per liter	 	Oil and grease -- CWA 304B	mg/l
00551	Organics, Other	Petroleum hydrocarbons, water, unfiltered, CCl4 extraction, infrared chromatography, recoverable, milligrams per liter	 	Hydrocarbons, petroleum	mg/l
00552	Organics, Other	Oil and grease, water, unfiltered, hexane extraction, recoverable, milligrams per liter	 	Oil and grease -- CWA 304B	mg/l
00553	Organics, Other	Oil and grease, bed sediment, hexane extraction, recoverable, dry weight, milligrams per kilogram	 	Oil and grease -- CWA 304B	mg/kg
00556	Organics, Other	Oil and grease, water, unfiltered, freon extraction, gravimetric, recoverable, milligrams per liter	 	Oil and grease -- CWA 304B	mg/l
00557	Organics, Other	Oil and grease, bed sediment, freon extraction, gravimetric, recoverable, dry weight, milligrams per kilogram	 	Oil and grease -- CWA 304B	mg/kg
00560	Organics, Other	Oil and grease, water, unfiltered, freon extraction, electrometric infrared, recoverable, milligrams per liter	 	Oil and grease -- CWA 304B	mg/l
00561	Organics, Other	Oil and grease, bed sediment, freon extraction, electrometric infrared, recoverable, dry weight, milligrams per kilogram	 	Oil and grease -- CWA 304B	mg/kg
00572	Biological	Biomass, periphyton, ash weight, grams per square meter	 	Biomass, periphyton	g/m2
00573	Biological	Biomass, periphyton, dry weight, grams per square meter	 	Biomass, periphyton	g/m2
00597	Nutrient	Dinitrogen, water, unfiltered, milligrams per liter	7727-37-9	Nitrogen	mg/l
00598	Nutrient	Dinitrogen, water, unfiltered, percent of saturation	7727-37-9	Nitrogen	%
00600	Nutrient	Total nitrogen, water, unfiltered, milligrams per liter	 	Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)	mg/l
00601	Nutrient	Total nitrogen, suspended sediment, total, milligrams per liter	 	Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)	mg/l
00602	Nutrient	Total nitrogen, water, filtered, milligrams per liter	 	Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)	mg/l
00603	Nutrient	Total nitrogen, bed sediment, total, dry weight, milligrams per kilogram	 	Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)	mg/kg
00604	Nutrient	Ammonia, suspended sediment, total, milligrams per liter as nitrogen	 	Ammonia and ammonium	mg/l as N
00605	Nutrient	Organic nitrogen, water, unfiltered, milligrams per liter	 	Organic nitrogen	mg/l
00606	Nutrient	Organic nitrogen, suspended sediment, total, milligrams per liter	 	Organic nitrogen	mg/l
00607	Nutrient	Organic nitrogen, water, filtered, milligrams per liter	 	Organic nitrogen	mg/l
00608	Nutrient	Ammonia, water, filtered, milligrams per liter as nitrogen	 	Ammonia and ammonium	mg/l as N
00610	Nutrient	Ammonia, water, unfiltered, milligrams per liter as nitrogen	 	Ammonia and ammonium	mg/l as N
00611	Nutrient	Ammonia, bed sediment, total, dry weight, milligrams per kilogram as nitrogen	 	Ammonia and ammonium	mg/kg as N
00613	Nutrient	Nitrite, water, filtered, milligrams per liter as nitrogen	14797-65-0	Nitrite	mg/l as N
00615	Nutrient	Nitrite, water, unfiltered, milligrams per liter as nitrogen	14797-65-0	Nitrite	mg/l as N
00616	Nutrient	Nitrite, bed sediment, total, dry weight, milligrams per kilogram as nitrogen	14797-65-0	Nitrite	mg/kg as N
00618	Nutrient	Nitrate, water, filtered, milligrams per liter as nitrogen	14797-55-8	Nitrate	mg/l as N
00619	Nutrient	Ammonia (un-ionized), water, unfiltered, calculated, milligrams per liter as nitrogen	7664-41-7	Ammonia	mg/l as N
00620	Nutrient	Nitrate, water, unfiltered, milligrams per liter as nitrogen	14797-55-8	Nitrate	mg/l as N
00621	Nutrient	Nitrate, bed sediment, total, dry weight, milligrams per kilogram as nitrogen	14797-55-8	Nitrate	mg/kg as N
00623	Nutrient	Ammonia plus organic nitrogen, water, filtered, milligrams per liter as nitrogen	 	Kjeldahl nitrogen	mg/l as N
00624	Nutrient	Ammonia plus organic nitrogen, suspended sediment, total, milligrams per liter as nitrogen	 	Kjeldahl nitrogen	mg/l as N
00625	Nutrient	Ammonia plus organic nitrogen, water, unfiltered, milligrams per liter as nitrogen	 	Kjeldahl nitrogen	mg/l as N
00626	Nutrient	Ammonia plus organic nitrogen, bed sediment, total, dry weight, milligrams per kilogram as nitrogen	 	Kjeldahl nitrogen	mg/kg as N
00628	Nutrient	Nitrate plus nitrite, suspended sediment, total, milligrams per liter as nitrogen	 	Inorganic nitrogen (nitrate and nitrite)	mg/l as N
00630	Nutrient	Nitrate plus nitrite, water, unfiltered, milligrams per liter as nitrogen	 	Inorganic nitrogen (nitrate and nitrite)	mg/l as N
00631	Nutrient	Nitrate plus nitrite, water, filtered, milligrams per liter as nitrogen	 	Inorganic nitrogen (nitrate and nitrite)	mg/l as N
00633	Nutrient	Nitrate plus nitrite, bed sediment, total, dry weight, milligrams per kilogram as nitrogen	 	Inorganic nitrogen (nitrate and nitrite)	mg/kg as N
00635	Nutrient	Ammonia plus organic nitrogen, water, unfiltered, milligrams per liter as nitrogen	 	Kjeldahl nitrogen	mg/l as N
00636	Nutrient	Ammonia plus organic nitrogen, water, filtered, milligrams per liter as nitrogen	 	Kjeldahl nitrogen	mg/l as N
00639	Nutrient	Albuminoid nitrogen, water, unfiltered, milligrams per liter	 	 	mg/l
00650	Nutrient	Phosphate, water, unfiltered, milligrams per liter	 	Phosphate-phosphorus	mg/l
00653	Nutrient	Phosphate, water, filtered, milligrams per liter	 	Phosphate-phosphorus	mg/l
00660	Nutrient	Orthophosphate, water, filtered, milligrams per liter	14265-44-2	Phosphate	mg/l
00662	Nutrient	Phosphorus, water, unfiltered, recoverable, micrograms per liter as phosphorus	7723-14-0	 	ug/l
00665	Nutrient	Phosphorus, water, unfiltered, milligrams per liter as phosphorus	7723-14-0	Phosphorus	mg/l
00666	Nutrient	Phosphorus, water, filtered, milligrams per liter as phosphorus	7723-14-0	Phosphorus	mg/l
00667	Nutrient	Phosphorus, suspended sediment, total, milligrams per liter as phosphorus	7723-14-0	Phosphorus	mg/l
00668	Nutrient	Phosphorus, bed sediment, total, dry weight, milligrams per kilogram as phosphorus	7723-14-0	Phosphorus	mg/kg
00669	Nutrient	Hydrolyzable phosphorus, water, unfiltered, milligrams per liter as phosphorus	 	 	mg/l
00670	Nutrient	Organic phosphorus, water, unfiltered, milligrams per liter as phosphorus	 	Organic phosphorus	mg/l
00671	Nutrient	Orthophosphate, water, filtered, milligrams per liter as phosphorus	14265-44-2	Phosphate	mg/l as P
00672	Nutrient	Hydrolyzable phosphorus, water, filtered, milligrams per liter as phosphorus	 	 	mg/l
00673	Nutrient	Organic phosphorus, water, filtered, milligrams per liter as phosphorus	 	Organic phosphorus	mg/l
00674	Nutrient	Orthophosphate, suspended sediment, total, milligrams per liter as phosphorus	14265-44-2	Phosphate	mg/l as P
00675	Nutrient	Hydrolyzable phosphorus, suspended sediment, total, milligrams per liter as phosphorus	 	 	mg/l
00676	Nutrient	Organic phosphorus, suspended sediment, total, milligrams per liter as phosphorus	 	Organic phosphorus	mg/l
00677	Nutrient	Hydrolyzable phosphorus plus orthophosphate, water, filtered, milligrams per liter as phosphorus	 	 	mg/l as P
00678	Nutrient	Hydrolyzable phosphorus plus orthophosphate, water, unfiltered, milligrams per liter as phosphorus	 	 	mg/l as P
00680	Organics, Other	Organic carbon, water, unfiltered, milligrams per liter	 	Organic carbon	mg/l
00681	Organics, Other	Organic carbon, water, filtered, milligrams per liter	 	Organic carbon	mg/l
00682	Inorganics, Major, Non-metals	Carbon (inorganic plus organic), water, filtered, milligrams per liter	7440-44-0	Total Carbon	mg/l
00683	Organics, Other	Organic carbon, suspended sediment, dry weight, milligrams per kilogram	 	Organic carbon	mg/kg
00685	Inorganics, Major, Non-metals	Inorganic carbon, water, unfiltered, milligrams per liter	 	Inorganic carbon	mg/l
00686	Inorganics, Major, Non-metals	Inorganic carbon, bed sediment, total, dry weight, grams per kilogram	 	Inorganic carbon	g/kg
00687	Organics, Other	Organic carbon, bed sediment, total, dry weight, grams per kilogram	 	Organic carbon	g/kg
00688	Inorganics, Major, Non-metals	Inorganic carbon, suspended sediment, total, milligrams per liter	 	Inorganic carbon	mg/l
00689	Organics, Other	Organic carbon, suspended sediment, total, milligrams per liter	 	Organic carbon	mg/l
00690	Inorganics, Major, Non-metals	Carbon (inorganic plus organic), water, unfiltered, milligrams per liter	7440-44-0	Total Carbon	mg/l
00691	Inorganics, Major, Non-metals	Inorganic carbon, water, filtered, milligrams per liter	 	Inorganic carbon	mg/l
00692	Organics, Other	Immiscible organic carbon, water, unfiltered, milligrams per liter	 	Organic carbon	mg/l
00693	Inorganics, Major, Non-metals	Carbon (inorganic plus organic), bed sediment, total, dry weight, grams per kilogram	7440-44-0	Total Carbon	g/kg
00694	Inorganics, Major, Non-metals	Carbon (inorganic plus organic), suspended sediment, total, milligrams per liter	7440-44-0	Total Carbon	mg/l
00697	Organics, Other	Acetic acid, water, unfiltered, recoverable, milligrams per liter	64-19-7	Acetic acid	mg/l
00717	Inorganics, Minor, Non-metals	Cyanide, weak acid, dissociable, water, filtered, micrograms per liter	57-12-5	Cyanide	ug/l
00718	Inorganics, Minor, Non-metals	Cyanide, weak acid, dissociable, water, unfiltered, micrograms per liter	57-12-5	 	ug/l
00720	Inorganics, Minor, Non-metals	Cyanide, water, unfiltered, milligrams per liter	57-12-5	Cyanide	mg/l
00721	Inorganics, Minor, Non-metals	Cyanide, bed sediment, total, dry weight, milligrams per kilogram	57-12-5	Cyanide	mg/kg
00722	Inorganics, Minor, Non-metals	Cyanide, free, amenable to chlorination, water, unfiltered, milligrams per liter	 	Cyanides amenable to chlorination (HCN & CN)	mg/l
00723	Inorganics, Minor, Non-metals	Cyanide, water, filtered, milligrams per liter	57-12-5	Cyanide	mg/l
00730	Inorganics, Minor, Non-metals	Thiocyanate, water, unfiltered, milligrams per liter	302-04-5	Thiocyanate	mg/l
00731	Inorganics, Minor, Non-metals	Thiocyanate, water, filtered, milligrams per liter	302-04-5	Thiocyanate	mg/l
00737	Inorganics, Major, Non-metals	Thiosulfate, water, filtered, milligrams per liter	14383-50-7	Thiosulfate	mg/l
00738	Inorganics, Minor, Non-metals	Tetrathionate, water, filtered, milligrams per liter	15536-54-6	 	mg/l
00739	Inorganics, Minor, Non-metals	Tetrathionate, water, unfiltered, milligrams per liter	15536-54-6	 	mg/l
00740	Inorganics, Minor, Non-metals	Sulfite, water, unfiltered, milligrams per liter	14265-45-3	Sulfite (SO3)	mg/l
00745	Inorganics, Major, Non-metals	Sulfide, water, unfiltered, milligrams per liter	18496-25-8	Sulfide	mg/l
00746	Inorganics, Major, Non-metals	Sulfide, water, filtered, milligrams per liter	18496-25-8	Sulfide	mg/l
00898	Physical	Carbonate hardness, water, filtered, milligrams per liter as calcium carbonate	 	Hardness, carbonate	mg/l CaCO3
00900	Physical	Hardness, water, milligrams per liter as calcium carbonate	 	Total hardness -- SDWA NPDWR	mg/l CaCO3
00901	Physical	Carbonate hardness, water, unfiltered, milligrams per liter as calcium carbonate	 	Hardness, carbonate	mg/l CaCO3
00902	Physical	Noncarbonate hardness, water, unfiltered, field, milligrams per liter as calcium carbonate	 	Hardness, non-carbonate	mg/l CaCO3
00903	Physical	Noncarbonate hardness, water, unfiltered, lab, milligrams per liter as calcium carbonate	 	Hardness, non-carbonate	mg/l CaCO3
00904	Physical	Noncarbonate hardness, water, filtered, field, milligrams per liter as calcium carbonate	 	Hardness, non-carbonate	mg/l CaCO3
00905	Physical	Noncarbonate hardness, water, filtered, lab, milligrams per liter as calcium carbonate	 	Hardness, non-carbonate	mg/l CaCO3
